func,package,description
select,plotly,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[dplyr] \code{\LinkA{arrange}{arrange}}, \code{\LinkA{arrange\_}{arrange.Rul.}}, \code{\LinkA{distinct}{distinct}}, \code{\LinkA{distinct\_}{distinct.Rul.}}, \code{\LinkA{do}{do}}, \code{\LinkA{do\_}{do.Rul.}}, \code{\LinkA{filter}{filter}}, \code{\LinkA{filter\_}{filter.Rul.}}, \code{\LinkA{group\_by}{group.Rul.by}}, \code{\LinkA{group\_by\_}{group.Rul.by.Rul.}}, \code{\LinkA{groups}{groups}}, \code{\LinkA{mutate}{mutate}}, \code{\LinkA{mutate\_}{mutate.Rul.}}, \code{\LinkA{rename}{rename}}, \code{\LinkA{rename\_}{rename.Rul.}}, \code{\LinkA{select}{select}}, \code{\LinkA{select\_}{select.Rul.}}, \code{\LinkA{slice}{slice}}, \code{\LinkA{slice\_}{slice.Rul.}}, \code{\LinkA{summarise}{summarise}}, \code{\LinkA{summarise\_}{summarise.Rul.}}, \code{\LinkA{transmute}{transmute}}, \code{\LinkA{transmute\_}{transmute.Rul.}}, \code{\LinkA{ungroup}{ungroup}}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \end{description}"
summarise,plotly,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[dplyr] \code{\LinkA{arrange}{arrange}}, \code{\LinkA{arrange\_}{arrange.Rul.}}, \code{\LinkA{distinct}{distinct}}, \code{\LinkA{distinct\_}{distinct.Rul.}}, \code{\LinkA{do}{do}}, \code{\LinkA{do\_}{do.Rul.}}, \code{\LinkA{filter}{filter}}, \code{\LinkA{filter\_}{filter.Rul.}}, \code{\LinkA{group\_by}{group.Rul.by}}, \code{\LinkA{group\_by\_}{group.Rul.by.Rul.}}, \code{\LinkA{groups}{groups}}, \code{\LinkA{mutate}{mutate}}, \code{\LinkA{mutate\_}{mutate.Rul.}}, \code{\LinkA{rename}{rename}}, \code{\LinkA{rename\_}{rename.Rul.}}, \code{\LinkA{select}{select}}, \code{\LinkA{select\_}{select.Rul.}}, \code{\LinkA{slice}{slice}}, \code{\LinkA{slice\_}{slice.Rul.}}, \code{\LinkA{summarise}{summarise}}, \code{\LinkA{summarise\_}{summarise.Rul.}}, \code{\LinkA{transmute}{transmute}}, \code{\LinkA{transmute\_}{transmute.Rul.}}, \code{\LinkA{ungroup}{ungroup}}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \end{description}"
transmute,plotly,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[dplyr] \code{\LinkA{arrange}{arrange}}, \code{\LinkA{arrange\_}{arrange.Rul.}}, \code{\LinkA{distinct}{distinct}}, \code{\LinkA{distinct\_}{distinct.Rul.}}, \code{\LinkA{do}{do}}, \code{\LinkA{do\_}{do.Rul.}}, \code{\LinkA{filter}{filter}}, \code{\LinkA{filter\_}{filter.Rul.}}, \code{\LinkA{group\_by}{group.Rul.by}}, \code{\LinkA{group\_by\_}{group.Rul.by.Rul.}}, \code{\LinkA{groups}{groups}}, \code{\LinkA{mutate}{mutate}}, \code{\LinkA{mutate\_}{mutate.Rul.}}, \code{\LinkA{rename}{rename}}, \code{\LinkA{rename\_}{rename.Rul.}}, \code{\LinkA{select}{select}}, \code{\LinkA{select\_}{select.Rul.}}, \code{\LinkA{slice}{slice}}, \code{\LinkA{slice\_}{slice.Rul.}}, \code{\LinkA{summarise}{summarise}}, \code{\LinkA{summarise\_}{summarise.Rul.}}, \code{\LinkA{transmute}{transmute}}, \code{\LinkA{transmute\_}{transmute.Rul.}}, \code{\LinkA{ungroup}{ungroup}}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \end{description}"
read_csv,readr,"\code{read\_csv()} and \code{read\_tsv()} are special cases of the more general \code{read\_delim()}. They're useful for reading the most common types of flat file data, comma separated values and tab separated values, respectively. \code{read\_csv2()} uses \AsIs{\texttt{;}} for the field separator and \AsIs{\texttt{,}} for the decimal point. This format is common in some European countries."
read_delim,readr,"\code{read\_csv()} and \code{read\_tsv()} are special cases of the more general \code{read\_delim()}. They're useful for reading the most common types of flat file data, comma separated values and tab separated values, respectively. \code{read\_csv2()} uses \AsIs{\texttt{;}} for the field separator and \AsIs{\texttt{,}} for the decimal point. This format is common in some European countries."
read_rds,readr,Consistent wrapper around \code{\LinkA{saveRDS()}{saveRDS}} and \code{\LinkA{readRDS()}{readRDS}}. \code{write\_rds()} does not compress by default as space is generally cheaper than time.
read_tsv,readr,"\code{read\_csv()} and \code{read\_tsv()} are special cases of the more general \code{read\_delim()}. They're useful for reading the most common types of flat file data, comma separated values and tab separated values, respectively. \code{read\_csv2()} uses \AsIs{\texttt{;}} for the field separator and \AsIs{\texttt{,}} for the decimal point. This format is common in some European countries."
write_csv,readr,"The \AsIs{\texttt{write\_*()}} family of functions are an improvement to analogous function such as \code{\LinkA{write.csv()}{write.csv}} because they are approximately twice as fast. Unlike \code{\LinkA{write.csv()}{write.csv}}, these functions do not include row names as a column in the written file. A generic function, \code{output\_column()}, is applied to each variable to coerce columns to suitable output."
write_rds,readr,Consistent wrapper around \code{\LinkA{saveRDS()}{saveRDS}} and \code{\LinkA{readRDS()}{readRDS}}. \code{write\_rds()} does not compress by default as space is generally cheaper than time.
read_excel,readxl,"Read xls and xlsx files  \code{read\_excel()} calls \code{\LinkA{excel\_format()}{excel.Rul.format}} to determine if \code{path} is xls or xlsx, based on the file extension and the file itself, in that order. Use \code{read\_xls()} and \code{read\_xlsx()} directly if you know better and want to prevent such guessing."
percent,scales,\strong{[Superseded]}  These functions are kept for backward compatibility; you should switch to \code{\LinkA{label\_percent()}{label.Rul.percent}} for new code.
binomial,stats,Family objects provide a convenient way to specify the details of the models used by functions such as \code{\LinkA{glm}{glm}}.  See the documentation for \code{\LinkA{glm}{glm}} for the details on how such model fitting takes place.
coef,stats,\code{coef} is a generic function which extracts model coefficients from objects returned by modeling functions.  \code{coefficients} is an \emph{alias} for it.
cor,stats,"\code{var}, \code{cov} and \code{cor} compute the variance of \code{x} and the covariance or correlation of \code{x} and \code{y} if these are vectors.   If \code{x} and \code{y} are matrices then the covariances (or correlations) between the columns of \code{x} and the columns of \code{y} are computed.  \code{cov2cor} scales a covariance matrix into the corresponding correlation matrix \emph{efficiently}."
cor.test,stats,"Test for association between paired samples, using one of Pearson's product moment correlation coefficient, Kendall's \eqn{\tau}{} or Spearman's \eqn{\rho}{}."
filter,stats,Applies linear filtering to a univariate time series or to each series separately of a multivariate time series.
glm,stats,"\code{glm} is used to fit generalized linear models, specified by giving a symbolic description of the linear predictor and a description of the error distribution."
lm,stats,"\code{lm} is used to fit linear models, including multivariate ones. It can be used to carry out regression, single stratum analysis of variance and analysis of covariance (although \code{\LinkA{aov}{aov}} may provide a more convenient interface for these)."
median,stats,Compute the sample median.
p.adjust,stats,"Given a set of p-values, returns p-values adjusted using one of several methods."
t.test,stats,Performs one and two sample t-tests on vectors of data.
fixed,stringr,Modifier functions control the meaning of the \code{pattern} argument to stringr functions: \begin{itemize}  \item{} \code{boundary()}: Match boundaries between things. \item{} \code{coll()}: Compare strings using standard Unicode collation rules. \item{} \code{fixed()}: Compare literal bytes. \item{} \code{regex()} (the default): Uses ICU regular expressions.  \end{itemize} 
str_detect,stringr,"\code{str\_detect()} returns a logical vector with \code{TRUE} for each element of \code{string} that matches \code{pattern} and \code{FALSE} otherwise. It's equivalent to \code{grepl(pattern, string)}."
str_extract,stringr,"\code{str\_extract()} extracts the first complete match from each string, \code{str\_extract\_all()}extracts all matches from each string."
str_extract_all,stringr,"\code{str\_extract()} extracts the first complete match from each string, \code{str\_extract\_all()}extracts all matches from each string."
str_remove,stringr,"Remove matches, i.e. replace them with \code{""""}."
str_replace,stringr,\code{str\_replace()} replaces the first match; \code{str\_replace\_all()} replaces all matches.
str_replace_all,stringr,\code{str\_replace()} replaces the first match; \code{str\_replace\_all()} replaces all matches.
str_split,stringr,"This family of functions provides various ways of splitting a string up into pieces. These two functions return a character vector: \begin{itemize}  \item{} \code{str\_split\_1()} takes a single string and splits it into pieces, returning a single character vector. \item{} \code{str\_split\_i()} splits each string in a character vector into pieces and extracts the \code{i}th value, returning a character vector.  \end{itemize}   These two functions return a more complex object: \begin{itemize}  \item{} \code{str\_split()} splits each string in a character vector into a varying number of pieces, returning a list of character vectors. \item{} \code{str\_split\_fixed()} splits each string in a character vector into a fixed number of pieces, returning a character matrix.  \end{itemize} "
str_sub,stringr,\code{str\_sub()} extracts or replaces the elements at a single position in each string. \code{str\_sub\_all()} allows you to extract strings at multiple elements in every string.
str_subset,stringr,"\code{str\_subset()} returns all elements of \code{string} where there's at least one match to \code{pattern}. It's a wrapper around \code{x[str\_detect(x, pattern)]}, and is equivalent to \code{grep(pattern, x, value = TRUE)}.  Use \code{\LinkA{str\_extract()}{str.Rul.extract}} to find the location of the match \emph{within} each string."
glimpse,tibble,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[magrittr] \code{\LinkA{\Rpercent{}>\Rpercent{}}{.Rpcent.>.Rpcent.}}  \item[pillar] \code{\LinkA{glimpse}{glimpse}}, \code{\LinkA{obj\_sum}{obj.Rul.sum}}, \code{\LinkA{size\_sum}{size.Rul.sum}}, \code{\LinkA{tbl\_sum}{tbl.Rul.sum}}, \code{\LinkA{type\_sum}{type.Rul.sum}}  \item[rlang] \code{\LinkA{has\_name}{has.Rul.name}}  \end{description}"
rownames_to_column,tibble,"While a tibble can have row names (e.g., when converting from a regular data frame), they are removed when subsetting with the \code{[} operator. A warning will be raised when attempting to assign non-\code{NULL} row names to a tibble. Generally, it is best to avoid row names, because they are basically a character column with different semantics than every other column.  These functions allow to you detect if a data frame has row names (\code{has\_rownames()}), remove them (\code{remove\_rownames()}), or convert them back-and-forth between an explicit column (\code{rownames\_to\_column()} and \code{column\_to\_rownames()}). Also included is \code{rowid\_to\_column()}, which adds a column at the start of the dataframe of ascending sequential row ids starting at 1. Note that this will remove any existing row names."
tibble,tibble,"\code{tibble()} constructs a data frame. It is used like \code{\LinkA{base::data.frame()}{base::data.frame()}}, but with a couple notable differences: \begin{itemize}  \item{} The returned data frame has the class \code{\LinkA{tbl\_df}{tbl.Rul.df.Rdash.class}}, in addition to \code{data.frame}. This allows so-called ""tibbles"" to exhibit some special behaviour, such as \LinkA{enhanced printing}{formatting}. Tibbles are fully described in \code{\LinkA{tbl\_df}{tbl.Rul.df.Rdash.class}}. \item{} \code{tibble()} is much lazier than \code{\LinkA{base::data.frame()}{base::data.frame()}} in terms of transforming the user's input. \begin{itemize}  \item{} Character vectors are not coerced to factor. \item{} List-columns are expressly anticipated and do not require special tricks. \item{} Column names are not modified. \item{} Inner names in columns are left unchanged.  \end{itemize}  \item{} \code{tibble()} builds columns sequentially. When defining a column, you can refer to columns created earlier in the call. Only columns of length one are recycled. \item{} If a column evaluates to a data frame or tibble, it is nested or spliced. If it evaluates to a matrix or a array, it remains a matrix or array, respectively. See examples.  \end{itemize}   \code{tibble\_row()} constructs a data frame that is guaranteed to occupy one row. Vector columns are required to have size one, non-vector columns are wrapped in a list."
anti_join,tidylog,Wrapper around dplyr::anti\_join that prints information about the operation
count,tidylog,Wrapper around dplyr::count that prints information about the operation
distinct,tidylog,Wrapper around dplyr::distinct that prints information about the operation
drop_na,tidylog,Wrapper around tidyr::drop\_na that prints information about the operation
filter,tidylog,Wrapper around dplyr::filter that prints information about the operation
full_join,tidylog,Wrapper around dplyr::full\_join that prints information about the operation
group_by,tidylog,Wrapper around dplyr::group\_by that prints information about the operation
inner_join,tidylog,Wrapper around dplyr::inner\_join that prints information about the operation
left_join,tidylog,Wrapper around dplyr::left\_join that prints information about the operation
mutate,tidylog,Wrapper around dplyr::mutate that prints information about the operation
pivot_longer,tidylog,Wrapper around tidyr::pivot\_longer that prints information about the operation
pivot_wider,tidylog,Wrapper around tidyr::pivot\_wider that prints information about the operation
relocate,tidylog,Wrapper around dplyr::relocate that prints information about the operation
rename,tidylog,Wrapper around dplyr::rename that prints information about the operation
rename_with,tidylog,Wrapper around dplyr::rename\_with that prints information about the operation
replace_na,tidylog,Wrapper around tidyr::replace\_na that prints information about the operation
right_join,tidylog,Wrapper around dplyr::right\_join that prints information about the operation
select,tidylog,Wrapper around dplyr::select that prints information about the operation
slice_sample,tidylog,Wrapper around dplyr::slice\_sample that prints information about the operation
summarise,tidylog,Wrapper around dplyr::summarise that prints information about the operation
summarize,tidylog,Wrapper around dplyr::summarize that prints information about the operation
tally,tidylog,Wrapper around dplyr::tally that prints information about the operation
transmute,tidylog,Wrapper around dplyr::transmute that prints information about the operation
contains,tidyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[tibble] \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}  \end{description}"
drop_na,tidyr,\code{drop\_na()} drops rows where any column specified by \code{...} contains a missing value.
ends_with,tidyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[tibble] \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}  \end{description}"
everything,tidyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[tibble] \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}  \end{description}"
one_of,tidyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[tibble] \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}  \end{description}"
pivot_longer,tidyr,"\code{pivot\_longer()} ""lengthens"" data, increasing the number of rows and decreasing the number of columns. The inverse transformation is \code{\LinkA{pivot\_wider()}{pivot.Rul.wider}}  Learn more in \code{vignette(""pivot"")}."
pivot_wider,tidyr,"\code{pivot\_wider()} ""widens"" data, increasing the number of columns and decreasing the number of rows. The inverse transformation is \code{\LinkA{pivot\_longer()}{pivot.Rul.longer}}.  Learn more in \code{vignette(""pivot"")}."
replace_na,tidyr,Replace NAs with specified values
separate,tidyr,"\strong{[Superseded]}  \code{separate()} has been superseded in favour of \code{\LinkA{separate\_wider\_position()}{separate.Rul.wider.Rul.position}} and \code{\LinkA{separate\_wider\_delim()}{separate.Rul.wider.Rul.delim}} because the two functions make the two uses more obvious, the API is more polished, and the handling of problems is better. Superseded functions will not go away, but will only receive critical bug fixes.  Given either a regular expression or a vector of character positions, \code{separate()} turns a single character column into multiple columns."
starts_with,tidyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[tibble] \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}  \end{description}"
tibble,tidyr,"These objects are imported from other packages. Follow the links below to see their documentation.  \begin{description}  \item[tibble] \code{\LinkA{as\_tibble}{as.Rul.tibble}}, \code{\LinkA{tibble}{tibble}}, \code{\LinkA{tribble}{tribble}}  \item[tidyselect] \code{\LinkA{all\_of}{all.Rul.of}}, \code{\LinkA{any\_of}{any.Rul.of}}, \code{\LinkA{contains}{contains}}, \code{\LinkA{ends\_with}{ends.Rul.with}}, \code{\LinkA{everything}{everything}}, \code{\LinkA{last\_col}{last.Rul.col}}, \code{\LinkA{matches}{matches}}, \code{\LinkA{num\_range}{num.Rul.range}}, \code{\LinkA{one\_of}{one.Rul.of}}, \code{\LinkA{starts\_with}{starts.Rul.with}}  \end{description}"
unite,tidyr,Convenience function to paste together multiple columns into one.
data,utils,"Loads specified data sets, or list the available data sets."
download.file,utils,This function can be used to download a file from the Internet.
head,utils,"Returns the first or last parts of a vector, matrix, table, data frame or function.  Since \code{head()} and \code{tail()} are generic functions, they may also have been extended to other classes."
install.packages,utils,Download and install packages from CRAN-like repositories or from local files.
sessionInfo,utils,"Get and report version information about \R{}, the OS and attached or loaded packages.  The \code{\LinkA{print}{print}()} and \code{\LinkA{toLatex}{toLatex}()} methods (for a \code{""sessionInfo""} object) show the locale and timezone information by default, when \code{locale} or \code{tzone} are true. The \code{system.codepage} is only shown when it is not empty, i.e., only on Windows, \emph{and} if it differs from \code{code.page}, see below or \code{\LinkA{l10n\_info}{l10n.Rul.info}()}."
str,utils,"Compactly display the internal \bold{str}ucture of an \R{} object, a diagnostic function and an alternative to \code{\LinkA{summary}{summary}} (and to some extent, \code{\LinkA{dput}{dput}}).  Ideally, only one line for each `basic' structure is displayed.  It is especially well suited to compactly display the (abbreviated) contents of (possibly nested) lists.  The idea is to give reasonable output for \bold{any} \R{} object.  It calls \code{\LinkA{args}{args}} for (non-primitive) function objects.  \code{strOptions()} is a convenience function for setting \code{\LinkA{options}{options}(str = .)}, see the examples."
tail,utils,"Returns the first or last parts of a vector, matrix, table, data frame or function.  Since \code{head()} and \code{tail()} are generic functions, they may also have been extended to other classes."
